INDICADOR DO CAFÉ ROBUSTA CEPEA/ESALQ,,
,,
Fonte: Cepea,,
Data,À vista R$,À vista US$
06/06/2001,0,0
07/06/2001,0,0
08/06/2001,0,0
11/06/2001,0,0
12/06/2001,0,0
13/06/2001,0,0
15/06/2001,0,0
18/06/2001,0,0
19/06/2001,0,0
20/06/2001,0,0
21/06/2001,0,0
22/06/2001,0,0
25/06/2001,0,0
26/06/2001,0,0
27/06/2001,0,0
28/06/2001,0,0
29/06/2001,0,0
02/07/2001,0,0
03/07/2001,0,0
04/07/2001,0,0
05/07/2001,0,0
06/07/2001,0,0
10/07/2001,0,0
11/07/2001,0,0
12/07/2001,0,0
13/07/2001,0,0
16/07/2001,0,0
17/07/2001,0,0
18/07/2001,0,0
19/07/2001,0,0
20/07/2001,0,0
23/07/2001,0,0
24/07/2001,0,0
25/07/2001,0,0
26/07/2001,0,0
27/07/2001,0,0
30/07/2001,0,0
31/07/2001,0,0
01/08/2001,0,0
02/08/2001,0,0
03/08/2001,0,0
06/08/2001,0,0
07/08/2001,0,0
08/08/2001,0,0
09/08/2001,0,0
10/08/2001,0,0
13/08/2001,0,0
14/08/2001,0,0
15/08/2001,0,0
16/08/2001,0,0
17/08/2001,0,0
20/08/2001,0,0
21/08/2001,0,0
22/08/2001,0,0
23/08/2001,0,0
24/08/2001,0,0
27/08/2001,0,0
28/08/2001,0,0
29/08/2001,0,0
30/08/2001,0,0
31/08/2001,0,0
03/09/2001,0,0
04/09/2001,0,0
05/09/2001,0,0
06/09/2001,0,0
10/09/2001,0,0
11/09/2001,0,0
12/09/2001,0,0
13/09/2001,0,0
14/09/2001,0,0
17/09/2001,0,0
18/09/2001,0,0
19/09/2001,0,0
20/09/2001,0,0
21/09/2001,0,0
24/09/2001,0,0
25/09/2001,0,0
26/09/2001,0,0
27/09/2001,0,0
28/09/2001,0,0
01/10/2001,0,0
02/10/2001,0,0
03/10/2001,0,0
04/10/2001,0,0
05/10/2001,0,0
08/10/2001,0,0
09/10/2001,0,0
10/10/2001,0,0
11/10/2001,0,0
15/10/2001,0,0
16/10/2001,0,0
17/10/2001,0,0
18/10/2001,0,0
19/10/2001,0,0
22/10/2001,0,0
23/10/2001,0,0
24/10/2001,0,0
25/10/2001,0,0
26/10/2001,0,0
29/10/2001,0,0
30/10/2001,0,0
31/10/2001,0,0
01/11/2001,0,0
05/11/2001,0,0
06/11/2001,0,0
07/11/2001,0,0
08/11/2001,"55,76","21,75"
09/11/2001,"56,02","22,06"
12/11/2001,"55,65","21,81"
13/11/2001,"55,61","22,05"
14/11/2001,"56,14","22,06"
16/11/2001,"56,68","22,42"
19/11/2001,"55,53","22,03"
20/11/2001,"55,61","21,77"
21/11/2001,"55,74","21,91"
22/11/2001,"55,87","22,05"
23/11/2001,"55,74","22,26"
26/11/2001,"56,41","22,75"
27/11/2001,"55,59","22,49"
28/11/2001,"55,36","22,29"
29/11/2001,"55,59","21,89"
30/11/2001,"55,5","22,24"
03/12/2001,"55,42","22,59"
04/12/2001,"54,5","22,36"
05/12/2001,"53,46","21,94"
06/12/2001,"53,6","22,15"
07/12/2001,"53,12","22,2"
10/12/2001,"52,75","22,62"
11/12/2001,"52,42","22,03"
12/12/2001,"52,25","22,04"
13/12/2001,"52,06","21,93"
14/12/2001,"51,84","21,81"
17/12/2001,"51,26","21,76"
18/12/2001,"50,8","21,85"
19/12/2001,"49,8","21,7"
20/12/2001,"49,6","21,25"
21/12/2001,"50,1","21,43"
26/12/2001,"49,27","21,22"
27/12/2001,"49,02","21,04"
28/12/2001,"49,73","21,47"
02/01/2002,"49,61","21,53"
03/01/2002,"49,59","21,61"
04/01/2002,"49,79","21,35"
07/01/2002,"50,1","21,5"
08/01/2002,"49,92","21,03"
09/01/2002,"51,28","21,59"
10/01/2002,"51,66","21,33"
11/01/2002,"50,92","21,2"
14/01/2002,"50,95","21,27"
15/01/2002,"51,68","21,77"
16/01/2002,"51,81","21,88"
17/01/2002,"51,57","21,66"
18/01/2002,"51,53","21,78"
21/01/2002,"51,68","21,77"
22/01/2002,"51,08","21,45"
23/01/2002,"50,81","21,31"
24/01/2002,"50,97","21,25"
25/01/2002,"50,7","21,01"
28/01/2002,"50,65","20,89"
29/01/2002,"50,53","20,72"
30/01/2002,"49,87","20,5"
31/01/2002,"49,64","20,56"
01/02/2002,"49,5","20,48"
04/02/2002,"49,18","20,27"
05/02/2002,"48,88","20,17"
06/02/2002,"48,64","19,97"
07/02/2002,"48,53","19,7"
08/02/2002,"48,5","19,72"
13/02/2002,"48,58","20,15"
14/02/2002,"48,51","19,96"
15/02/2002,"48,67","20,05"
18/02/2002,"48,85","20,13"
19/02/2002,"48,89","20,17"
20/02/2002,"49,31","20,29"
21/02/2002,"50,5","20,85"
22/02/2002,"50,81","20,93"
25/02/2002,"50,26","20,85"
26/02/2002,"50,37","21,04"
27/02/2002,"50,18","21,04"
28/02/2002,"50,92","21,7"
01/03/2002,"50,63","21,59"
04/03/2002,"51,67","22,22"
05/03/2002,"52,1","22,34"
06/03/2002,"52,06","21,98"
07/03/2002,"53,98","22,75"
08/03/2002,"54,75","23,29"
