Data,ValorReal,ValorDolar
20/05/2003,"29,65","9,75"
21/05/2003,"29,26","9,75"
22/05/2003,"28,81","9,66"
23/05/2003,"28,35","9,71"
26/05/2003,"27,83","9,19"
27/05/2003,"27,76","9,16"
28/05/2003,"27,48","9,12"
29/05/2003,"27,23","9,28"
30/05/2003,"27,04","9,1"
02/06/2003,"26,74","8,97"
03/06/2003,"26,66","9,05"
04/06/2003,"26,63","9,12"
05/06/2003,"26,55","9,28"
06/06/2003,"26,43","9,18"
09/06/2003,"26,41","9,22"
10/06/2003,"26,2","9,13"
11/06/2003,"25,94","9,09"
12/06/2003,"25,71","8,97"
13/06/2003,"25,64","9,03"
16/06/2003,"25,58","8,9"
17/06/2003,"24,95","8,71"
18/06/2003,"24,43","8,45"
20/06/2003,"24,08","8,33"
23/06/2003,"23,72","8,29"
24/06/2003,"23,28","8,11"
25/06/2003,"23,21","8,11"
26/06/2003,"23,25","8,02"
27/06/2003,"23,31","8,1"
30/06/2003,"23,12","8,14"
01/07/2003,"23,22","8,18"
02/07/2003,"23,15","8,22"
03/07/2003,"23,07","8,16"
04/07/2003,"23,05","8,12"
07/07/2003,23,"7,98"
08/07/2003,"23,07","8,04"
10/07/2003,"23,11","7,98"
11/07/2003,"23,09","7,98"
14/07/2003,"23,09","8,07"
15/07/2003,"23,08","8,08"
16/07/2003,"23,1","8,1"
17/07/2003,"23,15","8,07"
18/07/2003,"23,38","8,09"
21/07/2003,"23,67","8,22"
22/07/2003,"23,82","8,26"
23/07/2003,"24,06","8,31"
24/07/2003,"24,52","8,49"
25/07/2003,"24,86","8,6"
28/07/2003,"25,41","8,77"
29/07/2003,"25,8","8,78"
30/07/2003,"26,49","8,92"
31/07/2003,"27,24","9,19"
01/08/2003,"27,83","9,18"
04/08/2003,"28,39","9,25"
05/08/2003,"29,01","9,6"
06/08/2003,"29,66","9,72"
07/08/2003,"30,16","10,11"
08/08/2003,"30,19","10,11"
11/08/2003,"30,14","10,03"
12/08/2003,"30,23","9,98"
13/08/2003,"30,22","9,99"
14/08/2003,"30,33","10,08"
15/08/2003,"29,93",10
18/08/2003,"29,76","9,91"
19/08/2003,"30,01","10,04"
20/08/2003,"29,98","10,01"
21/08/2003,"29,8","9,92"
22/08/2003,"29,78","9,98"
25/08/2003,"29,1","9,71"
26/08/2003,"28,68","9,6"
27/08/2003,"28,49","9,63"
28/08/2003,"28,28","9,56"
29/08/2003,"27,64","9,28"
01/09/2003,"27,51","9,21"
02/09/2003,"27,36","9,15"
03/09/2003,"27,08","9,14"
04/09/2003,"26,62","9,08"
05/09/2003,"25,89","8,91"
08/09/2003,"25,95","8,81"
09/09/2003,"25,46","8,71"
10/09/2003,"25,31","8,76"
11/09/2003,"24,71","8,48"
12/09/2003,"24,5","8,44"
15/09/2003,"24,41","8,47"
16/09/2003,"24,33","8,35"
17/09/2003,"24,28","8,34"
18/09/2003,"23,89","8,23"
19/09/2003,"23,12","7,97"
22/09/2003,"22,87","7,88"
23/09/2003,"22,4","7,66"
24/09/2003,"22,28","7,63"
25/09/2003,"22,16","7,54"
26/09/2003,"21,78","7,42"
29/09/2003,"21,64","7,39"
30/09/2003,"21,35","7,38"
01/10/2003,"21,29","7,33"
02/10/2003,"21,41","7,4"
03/10/2003,"21,5","7,45"
06/10/2003,"21,8","7,61"
07/10/2003,"21,89","7,65"
08/10/2003,"21,99","7,72"
09/10/2003,"21,91","7,74"
10/10/2003,"21,82","7,71"
13/10/2003,"21,76","7,67"
14/10/2003,"21,71","7,67"
15/10/2003,"21,63","7,62"
16/10/2003,"21,59","7,57"
17/10/2003,"21,34","7,44"
20/10/2003,"21,1","7,34"
21/10/2003,"21,02","7,36"
22/10/2003,"20,96","7,32"
23/10/2003,"20,73","7,23"
24/10/2003,"20,47","7,13"
27/10/2003,"20,44","7,12"
28/10/2003,"20,06","7,01"
29/10/2003,"20,05","7,05"
30/10/2003,"20,02","7,03"
31/10/2003,"19,74","6,88"
03/11/2003,"19,72","6,92"
04/11/2003,"19,72","6,89"
05/11/2003,"19,68","6,87"
06/11/2003,"19,79","6,88"
07/11/2003,"20,14","7,02"
10/11/2003,"20,17","6,99"
11/11/2003,"20,28","6,98"
12/11/2003,"20,29","6,99"
13/11/2003,"20,14","6,85"
14/11/2003,"20,28","6,88"
17/11/2003,"20,34","6,94"
18/11/2003,"20,4","6,93"
19/11/2003,"20,47","6,95"
20/11/2003,"20,55","6,98"
21/11/2003,"20,66","7,07"
24/11/2003,"20,83","7,13"
25/11/2003,21,"7,15"
26/11/2003,"21,03","7,13"
27/11/2003,"21,01","7,14"
28/11/2003,"21,01","7,13"
01/12/2003,"21,04","7,19"
02/12/2003,"21,33","7,27"
03/12/2003,"21,21","7,23"
04/12/2003,"21,32","7,24"
05/12/2003,"21,34","7,27"
08/12/2003,"21,65","7,36"
09/12/2003,"21,65","7,38"
10/12/2003,"21,61","7,34"
11/12/2003,"21,59","7,35"
12/12/2003,"21,51","7,32"
15/12/2003,"21,6","7,39"
16/12/2003,"21,47","7,31"
17/12/2003,"21,53","7,35"
18/12/2003,"21,65","7,38"
19/12/2003,"21,39","7,32"
22/12/2003,"21,4","7,33"
23/12/2003,"21,56","7,41"
26/12/2003,"21,27","7,33"
29/12/2003,"21,2","7,41"
30/12/2003,"21,17","7,29"
02/01/2004,"20,95","7,28"
05/01/2004,"20,87","7,31"
06/01/2004,21,"7,32"
07/01/2004,"20,96","7,33"
08/01/2004,"20,89","7,32"
09/01/2004,"20,94","7,39"
12/01/2004,"20,82","7,47"
13/01/2004,"20,67","7,37"
14/01/2004,"20,51","7,28"
15/01/2004,"20,32","7,22"
16/01/2004,"19,75","6,98"
19/01/2004,"19,32","6,8"
20/01/2004,"19,26","6,79"
21/01/2004,"18,98","6,67"
22/01/2004,"18,75","6,6"
23/01/2004,"18,57","6,54"
26/01/2004,"18,48","6,5"
27/01/2004,"18,14","6,32"
28/01/2004,"17,96","6,2"
29/01/2004,"17,91","6,11"
30/01/2004,"17,8","6,07"
02/02/2004,"18,21","6,18"
03/02/2004,"18,27","6,26"
04/02/2004,"18,19","6,23"
05/02/2004,"18,24","6,22"
06/02/2004,"18,25","6,22"
09/02/2004,"18,36","6,28"
10/02/2004,"18,33","6,27"
11/02/2004,"18,33","6,31"
12/02/2004,"18,21","6,29"
13/02/2004,"18,2","6,26"
16/02/2004,"18,21","6,26"
17/02/2004,"18,09","6,2"
18/02/2004,"18,07","6,14"
19/02/2004,"17,94","6,06"
20/02/2004,"17,86","6,03"
25/02/2004,"18,02","6,13"
26/02/2004,"18,2","6,2"
27/02/2004,"18,19","6,26"
01/03/2004,"18,25","6,3"
02/03/2004,"18,32","6,33"
03/03/2004,"18,32","6,34"
04/03/2004,"18,33","6,34"
05/03/2004,"18,66","6,5"
08/03/2004,"18,88","6,56"
09/03/2004,"19,49","6,76"
10/03/2004,"19,45","6,71"
11/03/2004,"19,82","6,81"
12/03/2004,"20,12","6,94"
15/03/2004,"20,59","7,09"
16/03/2004,"21,08","7,28"
17/03/2004,"21,63","7,43"
18/03/2004,"21,86","7,52"
19/03/2004,"22,04","7,59"
22/03/2004,"22,77","7,82"
23/03/2004,"23,53","8,07"
24/03/2004,"24,12","8,23"
25/03/2004,"25,25","8,6"
26/03/2004,"25,68","8,74"
29/03/2004,"25,97","8,83"
30/03/2004,"26,23","9,02"
31/03/2004,"26,87","9,28"
01/04/2004,"27,28","9,44"
02/04/2004,"28,29","9,77"
05/04/2004,"28,77",10
06/04/2004,"29,04","10,1"
07/04/2004,"29,06","10,12"
08/04/2004,"28,99","10,05"
12/04/2004,"29,22","10,14"
13/04/2004,"29,44","10,17"
14/04/2004,"29,44","10,2"
15/04/2004,"29,33","10,05"
16/04/2004,"28,69","9,86"
19/04/2004,"28,44","9,78"
20/04/2004,"28,72","9,81"
22/04/2004,"27,92","9,54"
23/04/2004,"27,86","9,58"
26/04/2004,"27,44","9,43"
27/04/2004,"26,84","9,2"
28/04/2004,"25,69","8,71"
29/04/2004,"25,23","8,5"
30/04/2004,"24,31","8,29"
03/05/2004,"23,96","8,04"
04/05/2004,"23,83","8,02"
05/05/2004,"23,53","7,96"
06/05/2004,"23,14","7,71"
07/05/2004,"22,95","7,5"
10/05/2004,"22,92","7,3"
11/05/2004,"22,48","7,31"
12/05/2004,"22,24","7,08"
13/05/2004,"21,94",7
14/05/2004,"21,89","7,08"
17/05/2004,"21,67","6,94"
18/05/2004,"21,24","6,78"
19/05/2004,"21,09","6,73"
20/05/2004,"21,31","6,63"
21/05/2004,"21,43","6,71"
24/05/2004,"21,61","6,8"
25/05/2004,"22,19","7,07"
26/05/2004,"22,49","7,12"
27/05/2004,"22,84","7,32"
28/05/2004,"22,97","7,43"
31/05/2004,"23,17","7,26"
01/06/2004,"23,55","7,48"
02/06/2004,"24,42","7,79"
03/06/2004,"24,95","7,91"
04/06/2004,"25,47","8,13"
07/06/2004,"25,98","8,35"
08/06/2004,"26,54","8,53"
09/06/2004,"26,85","8,59"
11/06/2004,"26,99","8,59"
14/06/2004,"27,17","8,57"
15/06/2004,"27,31","8,74"
16/06/2004,"27,32","8,7"
17/06/2004,"27,34","8,74"
18/06/2004,"27,26","8,68"
21/06/2004,"27,34","8,72"
22/06/2004,"27,35","8,73"
23/06/2004,"27,44","8,79"
24/06/2004,"27,12","8,76"
25/06/2004,"27,01","8,68"
28/06/2004,"26,86","8,59"
29/06/2004,"26,9","8,66"
30/06/2004,"26,8","8,68"
