Data,ValorReal,ValorDolar
23/01/2013,"44,9","22,02"
24/01/2013,"44,57","21,91"
25/01/2013,"44,66","22,02"
28/01/2013,"44,68","22,07"
29/01/2013,"44,56","22,38"
30/01/2013,"44,21","22,22"
31/01/2013,"44,45","22,36"
01/02/2013,"44,46","22,4"
04/02/2013,"44,43","22,34"
05/02/2013,"44,31","22,29"
06/02/2013,"44,4","22,33"
07/02/2013,"44,09","22,28"
08/02/2013,"43,95","22,38"
13/02/2013,"44,25","22,5"
14/02/2013,"44,16","22,46"
15/02/2013,"44,06","22,48"
18/02/2013,"44,34","22,54"
19/02/2013,"44,26","22,59"
20/02/2013,"44,66","22,82"
21/02/2013,"44,23","22,43"
22/02/2013,"44,43","22,55"
25/02/2013,"44,14","22,43"
26/02/2013,"44,17","22,29"
27/02/2013,"44,26","22,34"
28/02/2013,"44,6","22,58"
01/03/2013,"44,42","22,38"
04/03/2013,"44,41","22,4"
05/03/2013,"44,86","22,78"
06/03/2013,"44,7","22,72"
07/03/2013,"44,77","22,79"
08/03/2013,"45,1","23,1"
11/03/2013,"44,79","22,91"
12/03/2013,"44,7","22,82"
13/03/2013,"46,91","23,91"
14/03/2013,"46,25","23,51"
15/03/2013,"46,08","23,33"
18/03/2013,"45,67","22,98"
19/03/2013,"45,03","22,71"
20/03/2013,"45,16","22,73"
21/03/2013,"45,2","22,68"
22/03/2013,"45,39","22,55"
25/03/2013,"44,81","22,25"
26/03/2013,"45,33","22,57"
27/03/2013,"45,35","22,47"
28/03/2013,"45,14","22,41"
01/04/2013,"45,63","22,6"
02/04/2013,"45,57","22,58"
03/04/2013,"45,48","22,47"
04/04/2013,"45,07","22,31"
05/04/2013,"45,01","22,47"
08/04/2013,"45,16","22,69"
09/04/2013,"45,21","22,77"
10/04/2013,"45,12","22,78"
11/04/2013,"45,16","22,88"
12/04/2013,"45,54","23,05"
15/04/2013,"45,84","23,16"
16/04/2013,"46,68","23,45"
17/04/2013,"47,13","23,64"
18/04/2013,"46,74","23,19"
19/04/2013,"46,84","23,31"
22/04/2013,"47,18","23,41"
23/04/2013,"47,15","23,37"
24/04/2013,"47,14","23,28"
25/04/2013,"46,61","23,17"
26/04/2013,"46,68","23,34"
29/04/2013,"46,74","23,37"
30/04/2013,"46,44","23,2"
02/05/2013,"46,79","23,28"
03/05/2013,"46,4","23,09"
06/05/2013,"46,88","23,27"
07/05/2013,"46,83","23,29"
08/05/2013,"46,55","23,24"
09/05/2013,"46,33","23,11"
10/05/2013,"46,76","23,11"
13/05/2013,"46,37","23,01"
14/05/2013,"45,83","22,84"
15/05/2013,"45,48","22,48"
16/05/2013,"45,73","22,58"
17/05/2013,"45,92","22,56"
20/05/2013,"45,87","22,56"
21/05/2013,"45,2","22,16"
22/05/2013,"45,2","22,17"
23/05/2013,"44,73","21,78"
24/05/2013,"45,09",22
27/05/2013,"45,36","22,1"
28/05/2013,"45,58","22,11"
29/05/2013,"45,83","21,93"
31/05/2013,"45,82","21,49"
03/06/2013,"46,35","21,7"
04/06/2013,"45,67","21,46"
05/06/2013,"45,55","21,45"
06/06/2013,"45,56","21,44"
07/06/2013,"45,65","21,36"
10/06/2013,"45,8","21,3"
11/06/2013,"45,64","21,21"
12/06/2013,"45,78","21,37"
13/06/2013,"45,63","21,28"
14/06/2013,"45,42","21,26"
17/06/2013,"45,22","20,99"
18/06/2013,"45,52","20,97"
19/06/2013,"45,86","21,09"
20/06/2013,"45,55","20,22"
21/06/2013,"45,84","20,24"
24/06/2013,"46,18","20,51"
25/06/2013,"46,36","20,9"
26/06/2013,"46,31","21,07"
27/06/2013,"46,56","21,31"
28/06/2013,"46,62","21,04"
01/07/2013,"46,7","20,94"
02/07/2013,"46,57","20,78"
03/07/2013,"46,77","20,66"
04/07/2013,"46,99","20,8"
05/07/2013,"46,75","20,64"
08/07/2013,"47,13","20,87"
10/07/2013,"46,91","20,67"
11/07/2013,"46,37","20,45"
12/07/2013,"46,11","20,34"
15/07/2013,"46,06","20,43"
16/07/2013,"45,78","20,48"
17/07/2013,"45,54","20,36"
18/07/2013,"45,41","20,37"
19/07/2013,"45,49","20,34"
22/07/2013,"45,8","20,46"
23/07/2013,"45,83","20,58"
24/07/2013,"45,45","20,34"
25/07/2013,"45,93","20,42"
26/07/2013,"46,29","20,58"
29/07/2013,"46,07","20,38"
30/07/2013,"45,97","20,22"
31/07/2013,"46,08","20,12"
01/08/2013,"46,4","20,25"
02/08/2013,"46,7","20,36"
05/08/2013,"46,84","20,36"
06/08/2013,"46,55","20,28"
07/08/2013,"46,43","20,16"
08/08/2013,"46,08","20,14"
09/08/2013,"45,97","20,21"
12/08/2013,"45,84","20,18"
13/08/2013,"45,82","19,89"
14/08/2013,"45,85","19,83"
15/08/2013,"45,87","19,57"
16/08/2013,"46,01","19,53"
19/08/2013,"45,87","19,13"
20/08/2013,"45,97","19,2"
21/08/2013,"46,34","19,18"
22/08/2013,"46,57","19,04"
23/08/2013,"46,16","19,34"
26/08/2013,"46,59","19,66"
27/08/2013,"46,45","19,36"
28/08/2013,"46,51","19,78"
29/08/2013,"46,46","19,7"
30/08/2013,"46,19","19,47"
02/09/2013,"46,6","19,71"
03/09/2013,"46,98","19,66"
04/09/2013,47,"19,97"
