data,valor,estacao_ano,valor_semestre,valor_bimestre
2023_1,1030.14,1,5409.650000000001,2160.4
2023_2,1130.26,1,0.0,2218.6099999999997
2023_3,1103.37,1,7995.5599999999995,1030.64
2023_4,1115.24,2,6236.150000000001,0.0
2023_5,1030.64,2,4410.219999999999,0.0
2023_6,0.0,2,6231.389999999999,0.0
2023_7,0.0,3,3212.0600000000004,2968.6
2023_8,0.0,3,3293.02,2511.4700000000003
2023_9,0.0,3,2389.2400000000002,2515.49
2023_10,0.0,4,2648.3,2195.36
2023_11,0.0,4,2629.0999999999995,2131.31
2023_12,0.0,4,2641.72,1909.48
2022_1,1480.49,1,2933.3999999999996,1334.56
2022_2,1488.11,1,2835.28,1470.9299999999998
2022_3,1258.22,1,2923.67,1604.73
2022_4,1253.25,2,3081.29,1534.3899999999999
2022_5,1259.21,2,2774.5299999999997,1964.4
2022_6,1256.28,2,2772.21,2732.6000000000004
2022_7,1119.45,3,2268.9500000000003,995.35
2022_8,1075.91,3,2560.6800000000003,1131.78
2022_9,1098.56,3,1828.9399999999998,1084.93
2022_10,1032.75,4,1602.76,1087.47
2022_11,915.26,4,2446.7700000000004,1067.12
2022_12,994.22,4,2279.01,1138.43
2021_1,639.23,1,2864.73,798.06
2021_2,695.33,1,2759.98,771.1700000000001
2021_3,726.88,1,1631.91,820.01
2021_4,744.05,2,1836.77,860.0699999999999
2021_5,811.06,2,1557.45,821.99
2021_6,793.67,2,1570.87,966.24
2021_7,762.36,3,1531.29,862.73
2021_8,772.03,3,1546.8399999999997,853.37
2021_9,851.11,3,1468.3999999999999,913.0
2021_10,1113.29,4,1510.15,934.69
2021_11,1285.94,4,1450.6399999999999,866.9100000000001
2021_12,1446.66,4,1471.96,840.12
2020_1,501.68,1,1744.2599999999998,1019.51
2020_2,493.67,1,1545.1799999999998,968.24
2020_3,555.23,1,1223.4199999999998,945.65
2020_4,576.55,2,1198.83,1019.99
2020_5,566.69,2,1026.1699999999998,915.01
2020_6,518.24,2,1004.08,900.28
2020_7,531.82,3,624.46,971.12
2020_8,555.65,3,821.1999999999999,979.51
2020_9,545.8,3,713.0600000000001,973.04
2020_10,521.32,4,610.1899999999999,1013.8299999999999
2020_11,551.45,4,1085.38,1013.25
