index,data,estacao_ano,valor,valor_bimestre,valor_semestre,janela_bimestre
1,1981_1,1,6336.11,6336.11,6336.11,6336.11
2,1981_2,1,6563.57,12899.68,12899.68,12899.68
3,1981_3,1,6421.42,6421.42,19321.1,12984.99
4,1981_4,2,6421.42,12842.84,25742.519999999997,12842.84
5,1981_5,2,6411.71,6411.71,32154.229999999996,12833.130000000001
6,1981_6,2,6207.21,12618.92,38361.439999999995,12618.92
7,1981_7,3,6533.26,6533.26,6533.26,12740.470000000001
8,1981_8,3,7455.29,13988.55,13988.55,13988.55
9,1981_9,3,7601.47,7601.47,21590.02,15056.76
10,1981_10,4,7814.22,15415.69,29404.24,15415.69
11,1981_11,4,8670.28,8670.28,38074.520000000004,16484.5
12,1981_12,4,10055.01,18725.29,48129.530000000006,18725.29
13,1982_1,1,10751.46,10751.46,10751.46,20806.47
14,1982_2,1,11521.11,22272.57,22272.57,22272.57
15,1982_3,1,12409.68,12409.68,34682.25,23930.79
16,1982_4,2,13397.29,25806.97,48079.54,25806.97
17,1982_5,2,13922.95,13922.95,62002.490000000005,27320.24
18,1982_6,2,16164.71,30087.66,78167.20000000001,30087.66
19,1982_7,3,15423.39,15423.39,15423.39,31588.1
20,1982_8,3,16280.62,31704.010000000002,31704.010000000002,31704.010000000002
21,1982_9,3,16946.96,16946.96,48650.97,33227.58
22,1982_10,4,18228.16,35175.119999999995,66879.13,35175.119999999995
23,1982_11,4,20552.48,20552.48,87431.61,38780.64
24,1982_12,4,24461.28,45013.759999999995,111892.89,45013.759999999995
25,1983_1,1,24664.3,24664.3,24664.3,49125.58
26,1983_2,1,35984.96,60649.259999999995,60649.259999999995,60649.259999999995
27,1983_3,1,29887.05,29887.05,90536.31,65872.01
28,1983_4,2,29622.46,59509.509999999995,120158.76999999999,59509.509999999995
29,1983_5,2,29531.22,29531.22,149689.99,59153.68
30,1983_6,2,29006.59,58537.81,178696.58,58537.81
31,1983_7,3,29595.9,29595.9,29595.9,58602.490000000005
32,1983_8,3,33679.96,63275.86,63275.86,63275.86
33,1983_9,3,37445.32,37445.32,100721.18,71125.28
34,1983_10,4,43001.66,80446.98000000001,143722.84,80446.98000000001
35,1983_11,4,45297.57,45297.57,189020.41,88299.23000000001
36,1983_12,4,54951.5,100249.07,243971.91,100249.07
37,1984_1,1,66626.31,66626.31,66626.31,121577.81
38,1984_2,1,73169.7,139796.01,139796.01,139796.01
39,1984_3,1,84519.93,84519.93,224315.94,157689.63
40,1984_4,2,85939.43,170459.36,310255.37,170459.36
41,1984_5,2,94542.67,94542.67,404798.04,180482.09999999998
42,1984_6,2,121940.52,216483.19,526738.5599999999,216483.19
43,1984_7,3,145551.52,145551.52,145551.52,267492.04
44,1984_8,3,147170.12,292721.64,292721.64,292721.64
45,1984_9,3,170772.83,170772.83,463494.47,317942.94999999995
46,1984_10,4,193501.0,364273.82999999996,656995.47,364273.82999999996
47,1984_11,4,219316.0,219316.0,876311.47,412817.0
48,1984_12,4,258899.0,478215.0,1135210.47,478215.0
49,1985_1,1,388133.0,388133.0,388133.0,647032.0
50,1985_2,1,444484.0,832617.0,832617.0,832617.0
51,1985_3,1,501629.0,501629.0,1334246.0,946113.0
52,1985_4,2,539721.0,1041350.0,1873967.0,1041350.0
53,1985_5,2,528152.0,528152.0,2402119.0,1067873.0
54,1985_6,2,512101.0,1040253.0,2914220.0,1040253.0
55,1985_7,3,504678.0,504678.0,504678.0,1016779.0
56,1985_8,3,522889.0,1027567.0,1027567.0,1027567.0
57,1985_9,3,557932.0,557932.0,1585499.0,1080821.0
58,1985_10,4,874916.0,1432848.0,2460415.0,1432848.0
59,1985_11,4,1282990.0,1282990.0,3743405.0,2157906.0
60,1985_12,4,2449053.0,3732043.0,6192458.0,3732043.0
61,1986_1,1,3491768.0,3491768.0,3491768.0,5940821.0
62,1986_2,1,3498152.0,6989920.0,6989920.0,6989920.0
63,1986_3,1,3464.15,3464.15,6993384.15,3501616.15
64,1986_4,2,2965.38,6429.530000000001,6996349.53,6429.530000000001
65,1986_5,2,2953.35,2953.35,6999302.88,5918.73
66,1986_6,2,2734.7,5688.049999999999,7002037.58,5688.049999999999
67,1986_7,3,2844.75,2844.75,2844.75,5579.45
68,1986_8,3,2991.12,5835.87,5835.87,5835.87
69,1986_9,3,3034.67,3034.67,8870.54,6025.79
70,1986_10,4,2721.27,5755.9400000000005,11591.810000000001,5755.9400000000005
71,1986_11,4,2723.48,2723.48,14315.29,5444.75
72,1986_12,4,2140.34,4863.82,16455.63,4863.82
73,1987_1,1,1898.09,1898.09,1898.09,4038.4300000000003
74,1987_2,1,1839.29,3737.38,3737.38,3737.38
75,1987_3,1,1812.81,1812.81,5550.1900000000005,3652.1
76,1987_4,2,1925.28,3738.09,7475.47,3738.09
