i,index,mes,P1,desvio_padrao,valor_min,valor_max, valor_medio,diferenca
1,1,Jan, 32.125, 34.686,-2.561 , 66.812 , 101.273, 69.148
1,3,Fev,37.017, 43.279, -6.262 , 80.295 , 101.250, 64.234
1,5,Mar,35.718, 50.956, -15.238 , 86.674 , 50.723, 15.005
1,6,Abr, 42.889, 44.501, -1.611 , 87.390 , 53.278, 10.389
1,7,Mai, 45.724, 41.387, 4.337 , 87.111 , 53.297, 7.573
1,8,Jun, 47.164, 42.620, 4.544 , 89.783 , 18.304, -28.860
1,9,Jul, 33.583, 31.156, 2.427 , 64.740 , 13.160, -20.424
1,10,Ago, 38.475, 29.560, 8.915 , 68.035 , 37.243, -1.232
1,11,Set, 37.176, 38.225, -1.050 , 75.401 , 39.222, 2.046
2,12,Out, 44.347, 33.968, 10.380 , 78.315 , 37.894, -6.454
2,4,Nov, 47.182, 39.557, 7.625 , 86.739 , 40.347, -6.835
2,2,Dez, 48.622, 44.833, 3.789 , 93.455 , 110.991, 62.369
